,0,1,2,3,4
760,7,128700.0,1040,1224,2
761,6,11832.64,405,819,6
762,1,82.79,1389,1389,0
763,5,89595.5,1062,1062,10
764,3,2388.0,961,961,1
765,11,26429.2,307,1347,10
766,1,101.7,160,160,0
767,4,77663.0,887,577,2
768,3,334.62,1075,577,0
769,4,38.52,621,577,2
770,3,10000.0,1038,273,0
771,15,54668.0,1025,1025,7
772,3,30400.0,113,577,1
773,17,5676.82,985,1123,44
774,4,400,543,543,1
775,1,403.66,173,173,0
776,2,232.11,1090,577,0
777,4,10599.21,307,1347,0
778,25,612720.0,1584,198,35
779,3,33823.1,887,577,3
780,3,88614.0,603,779,4
781,12,100000.0,957,957,11
782,2,74651.4,887,577,3
783,1,21.03,1180,1180,0
784,3,82147.8,887,577,0
785,19,27223.25,243,1574,7
786,2,5699.4,1347,1347,0
787,12,226285.91,1368,961,29
788,33,3219689.0,304,304,61
789,3,3337.0,273,273,0
790,2,1047.52,687,577,0
791,2,1259.06,887,577,1
792,4,8272.72,1549,1549,3
793,8,120326.4,120,577,2
794,2,15940.0,1215,1215,0
795,4,13187.68,208,1347,6
796,2,123.18,694,577,0
797,2,41015.9,887,577,0
798,1,248.98,110,110,0
799,5,12.84,918,577,5
800,5,69343.0,1489,273,1
801,1,171.65,1552,1552,0
802,8,92160.0,51,51,5
803,6,259428.91,813,577,3
804,4,243.5,1185,1185,0
805,2,54.3,336,577,1
806,2,144,1524,1524,0
807,8,142560.0,603,591,15
808,4,799.98,1194,577,0
809,4,19.26,104,577,6
810,4,126500.0,603,577,2
811,3,80000.0,1251,1251,0
812,14,265300.0,827,577,7
813,3,2227.1,1025,1025,0
814,3,859,1025,1025,0
815,1,288.66,273,273,0
816,3,174.27,1057,1057,5
817,2,693.18,527,577,0
818,15,39000.0,354,840,8
819,5,1802.27,1424,1424,0
820,5,1319.62,1549,1549,1
821,3,4740.0,255,255,3
822,13,196000.0,766,577,38
823,4,1890.99,1123,1123,10
824,1,46.3,36,36,0
825,2,3093.94,926,577,0
826,1,46.6,390,390,0
827,2,17404.78,1124,1124,0
828,4,669.24,738,577,6
829,1,56.46,229,229,0
830,3,339.66,704,704,1
831,3,5680.0,1025,1025,0
832,2,27350.17,887,577,1
833,3,669.24,795,577,3
834,3,85542.98,476,476,0
835,2,2779.19,1327,577,3
836,3,18954.92,1038,577,0
837,4,49375.0,737,737,1
838,1,87.71,1488,1488,0
839,4,9440.0,819,819,6
840,7,485000.0,680,680,14
841,1,199.3,1062,1062,0
842,7,165000.0,1082,1082,24
843,7,2566.36,401,401,5
844,7,15000.0,1563,1563,302
845,7,84500.0,1102,273,5
846,4,3515.0,1370,577,1
847,13,917162.67,1454,1454,35
848,1,25.47,1007,1007,0
849,3,1728.53,50,1347,4
850,11,262800.0,506,506,8
851,4,150.95,864,577,6
852,4,11193.6,274,577,1
853,12,2204000.04,1110,1110,13
854,1,33.2,629,629,0
855,4,382.6,1585,1585,2
856,2,1140.25,887,577,1
857,2,1087.84,411,411,1
858,4,70.62,941,577,0
859,3,211.56,1138,1138,5
860,4,334.62,1547,577,12
861,3,334.62,305,577,2
862,9,26594.77,39,39,20
